movie_name,year_of_release,category,run_time,genre,imdb_rating,votes,gross_total
The Godfather,1972,R,175,"Crime, Drama",9.2,1250000,$134.97M
Lambs the of Silence The,1991,R,'118',"Crime, Drama, Thriller",8.6,1250000,$130.74M
Back Strikes Empire The - V Episode Wars: Star,1980,R,124,"Action, Adventure, Fantasy",8.7,1250000,$290.48M
The Shawshank Redemption,1994,R,142,Drama,9.3,1250000,$28.34M
The Shining,1980,R,146,"Drama, Horror",8.4,1025560,$44.02M
Casablanca,1942,R,'102',"Drama, Romance, War",8.5,574092,$1.02M
Nest Cuckoo's the Over Flew One,1975,R,133,Drama,8.7,1010102,$112.00M
Ark Lost the of Raiders the and Jones Indiana,1981,R,'115',"Action, Adventure",8.4,969143,$248.16M
King the of Return The Rings: the of Lord The,2003,R,201,"Action, Adventure, Drama",9.0,1250000,$377.85M
Hope New A - IV Episode Wars: Star,1977,R,121,"Action, Adventure, Fantasy",8.6,1250000,$322.74M
The Dark Knight,2008,R,152,"Action, Crime, Drama",0.0,1250000,$534.86M
II Part Godfather: The,1974,R,202,"Crime, Drama",9.0,1250000,$57.30M
Aliens,1986,R,137,"Action, Adventure, Sci-Fi",8.4,720623,$85.16M
Schindler's List,1993,R,195,"Biography, Drama, History",9.0,1250000,$96.90M
Inception,2010,R,148,"Action, Adventure, Sci-Fi",0.0,1250000,$292.58M
Ring the of Fellowship The Rings: the of Lord The,2001,R,178,"Action, Adventure, Drama",8.8,1250000,$315.54M
Alien,1979,R,'117',"Horror, Sci-Fi",8.5,885635,$78.90M
Hot It Like Some,1959,R,121,"Comedy, Music, Romance",8.2,269346,$25.00M
Blade Runner,1982,R,'117',"Action, Drama, Sci-Fi",8.1,773425,$32.87M
Se7en,1995,R,127,"Crime, Drama, Mystery",8.6,1250000,$100.13M
Apocalypse Now,1979,R,147,"Drama, Mystery, War",8.5,669994,$83.47M
12 Angry Men,1957,R,'96',"Crime, Drama",9.0,792729,$4.36M
Towers Two The Rings: the of Lord The,2002,R,179,"Action, Adventure, Drama",8.8,1250000,$342.55M
Day Judgment 2: Terminator,1991,R,137,"Action, Sci-Fi",8.6,1101850,$204.84M
